PostalCode,Borough
M1A,Not assigned
M2A,Not assigned
M3A,North York
M4A,North York
M5A,Downtown Toronto
M6A,North York
M7A,Downtown Toronto
M9A,Etobicoke
M1B,Scarborough
M2B,Not assigned
M3B,North York
M4B,East York
M5B,Downtown Toronto
M6B,North York
M7B,Not assigned
M8B,Not assigned
M9B,Etobicoke
M1C,Scarborough
M2C,Not assigned
M3C,North York
M4C,East York
M5C,Downtown Toronto
M6C,York
M7C,Not assigned
M8C,Not assigned
M9C,Etobicoke
M1E,Scarborough
M2E,Not assigned
M3E,Not assigned
M4E,East Toronto
M5E,Downtown Toronto
M6E,York
M7E,Not assigned
M8E,Not assigned
M9E,Not assigned
M1G,Scarborough
M2G,Not assigned
M3G,Not assigned
M4G,East York
M5G,Downtown Toronto
M6G,Downtown Toronto
M7G,Not assigned
M8G,Not assigned
M9G,Not assigned
M1H,Scarborough
M2H,North York
M3H,North York
M4H,East York
M5H,Downtown Toronto
M6H,West Toronto
M7H,Not assigned
M8H,Not assigned
M9H,Not assigned
M1J,Scarborough
M2J,North York
M3J,North York
M4J,East York
M5J,Downtown Toronto
M6J,West Toronto
M7J,Not assigned
M8J,Not assigned
M9J,Not assigned
M1K,Scarborough
M2K,North York
M3K,North York
M4K,East Toronto
M5K,Downtown Toronto
M6K,West Toronto
M7K,Not assigned
M8K,Not assigned
M9K,Not assigned
M1L,Scarborough
M2L,North York
M3L,North York
M4L,East Toronto
M5L,Downtown Toronto
M6L,North York
M7L,Not assigned
M8L,Not assigned
M9L,North York
M1M,Scarborough
M2M,North York
M3M,North York
M4M,East Toronto
M5M,North York
M6M,York
M7M,Not assigned
M8M,Not assigned
M9M,North York
M1N,Scarborough
M2N,North York
M3N,North York
M4N,Central Toronto
M5N,Central Toronto
M6N,York
M7N,Not assigned
M8N,Not assigned
M9N,York
M1P,Scarborough
M2P,North York
M3P,Not assigned
M4P,Central Toronto
M5P,Central Toronto
M6P,West Toronto
M7P,Not assigned
M8P,Not assigned
M9P,Etobicoke
M1R,Scarborough
M2R,North York
M3R,Not assigned
M4R,Central Toronto
M5R,Central Toronto
M6R,West Toronto
M7R,Mississauga
M8R,Not assigned
M9R,Etobicoke
M1S,Scarborough
M2S,Not assigned
M3S,Not assigned
M4S,Central Toronto
M5S,Downtown Toronto
M6S,West Toronto
M7S,Not assigned
M8S,Not assigned
M9S,Not assigned
M1T,Scarborough
M2T,Not assigned
M3T,Not assigned
M4T,Central Toronto
M5T,Downtown Toronto
M6T,Not assigned
M7T,Not assigned
M8T,Not assigned
M9T,Not assigned
M1V,Scarborough
M2V,Not assigned
M3V,Not assigned
M4V,Central Toronto
M5V,Downtown Toronto
M6V,Not assigned
M7V,Not assigned
M8V,Etobicoke
M9V,Etobicoke
M1W,Scarborough
M2W,Not assigned
M3W,Not assigned
M4W,Downtown Toronto
M5W,Downtown Toronto
M6W,Not assigned
M7W,Not assigned
M8W,Etobicoke
M9W,Etobicoke
M1X,Scarborough
M2X,Not assigned
M3X,Not assigned
M4X,Downtown Toronto
M5X,Downtown Toronto
M6X,Not assigned
M7X,Not assigned
M8X,Etobicoke
M9X,Not assigned
M1Y,Not assigned
M2Y,Not assigned
M3Y,Not assigned
M4Y,Downtown Toronto
M5Y,Not assigned
M6Y,Not assigned
M7Y,East Toronto
M8Y,Etobicoke
M9Y,Not assigned
M1Z,Not assigned
M2Z,Not assigned
M3Z,Not assigned
M4Z,Not assigned
M5Z,Not assigned
M6Z,Not assigned
M7Z,Not assigned
M8Z,Etobicoke
M9Z,Not assigned